instrument,position,volume,lastprice,updown,bprice,bamount,sprice,samount
MO2609-C-6200,794,7,1711.0,62.2,1704.2,1,1736.8,1
MO2609-C-6400,607,5,1539.6,66.0,1502.8,1,1565.0,1
MO2609-C-6600,625,0,1299.0,-16.0,1335.0,1,1398.0,1
MO2609-C-6800,498,8,1226.4,69.0,1181.2,1,1255.0,1
MO2609-C-7000,1091,3,1062.4,57.2,1041.2,1,1078.0,1
MO2609-C-7200,643,5,933.0,49.0,910.0,1,943.8,1
MO2609-C-7400,660,22,808.4,45.4,777.0,1,819.4,1
MO2609-C-7600,852,21,677.6,32.6,678.0,1,700.0,2
MO2609-C-7800,610,25,582.8,27.2,557.8,1,600.6,1
MO2609-C-8000,831,63,494.0,25.8,480.6,2,500.8,1
MO2609-C-8200,830,104,415.4,27.2,403.6,1,422.2,1
MO2609-C-8400,1039,69,345.0,16.2,333.4,1,345.0,1
MO2609-C-8600,1326,135,292.0,15.8,275.2,3,291.6,1
MO2609-C-8800,544,14,238.8,9.6,231.2,1,240.0,1
MO2609-C-9000,452,2,194.2,6.4,190.6,1,200.6,1
MO2609-C-9200,781,17,162.0,6.6,162.6,1,169.0,1
MO2609-C-9400,918,93,136.0,4.8,132.8,1,141.4,1
MO2609-C-9600,221,144,114.4,6.8,109.4,1,112.0,1
MO2609-P-6200,751,57,82.6,-8.2,81.6,2,85.6,1
MO2609-P-6400,648,30,108.8,-10.2,105.0,1,110.2,1
MO2609-P-6600,967,38,144.4,-16.2,134.0,1,146.6,1
MO2609-P-6800,1014,48,179.4,-19.0,173.0,2,185.2,1
MO2609-P-7000,911,37,234.6,-18.0,222.6,1,233.4,1
MO2609-P-7200,1142,46,288.4,-35.4,277.8,1,296.6,1
MO2609-P-7400,1583,55,363.0,-29.6,352.0,1,365.0,2
MO2609-P-7600,1336,52,443.4,-42.0,431.8,1,443.6,2
MO2609-P-7800,573,78,533.4,-49.2,525.8,1,538.4,2
MO2609-P-8000,456,45,645.6,-29.6,622.6,1,664.4,1
MO2609-P-8200,287,11,763.2,-49.0,743.4,1,783.0,1
MO2609-P-8400,235,1,889.6,-56.0,871.2,1,913.8,1
MO2609-P-8600,604,1,1036.0,-57.8,1017.2,1,1056.4,2
MO2609-P-8800,358,1,1181.2,-56.4,1154.4,1,1210.4,1
MO2609-P-9000,242,0,1365.6,-35.0,1309.8,1,1366.6,1
MO2609-P-9200,99,0,1545.8,-18.8,1473.0,1,1536.2,1
MO2609-P-9400,141,4,1670.0,-86.0,1642.0,1,1702.4,1
MO2609-P-9600,40,0,1930.0,20.6,1813.2,1,1876.2,1
